Detected GPU: Tesla T4 (Compute Capability 7.5)
Compute Capability < 8 detected, switching to float16 (no native bfloat16)
T4 detected, scaling down hyperparameters: seq_len=512, depth=8, batch_size=65536, window=L
Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.013297e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011085 | lrm: 0.00 | dt: 8231ms | tok/sec: 7,962 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011126 | lrm: 0.00 | dt: 891ms | tok/sec: 73,532 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011109 | lrm: 0.00 | dt: 853ms | tok/sec: 76,870 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011068 | lrm: 0.00 | dt: 857ms | tok/sec: 76,478 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011084 | lrm: 0.00 | dt: 859ms | tok/sec: 76,252 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011048 | lrm: 0.00 | dt: 860ms | tok/sec: 76,205 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011061 | lrm: 0.00 | dt: 860ms | tok/sec: 76,242 | mfu: 1.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011068 | lrm: 0.00 | dt: 867ms | tok/sec: 75,550 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011043 | lrm: 0.00 | dt: 870ms | tok/sec: 75,298 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011023 | lrm: 0.00 | dt: 869ms | tok/sec: 75,443 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011014 | lrm: 0.00 | dt: 875ms | tok/sec: 74,923 | mfu: 1.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011045 | lrm: 0.00 | dt: 868ms | tok/sec: 75,512 | mfu: 1.5% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 9.011037 | lrm: 0.03 | dt: 879ms | tok/sec: 74,568 | mfu: 1.5% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 9.009873 | lrm: 0.06 | dt: 946ms | tok/sec: 69,313 | mfu: 1.4% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 9.006576 | lrm: 0.09 | dt: 968ms | tok/sec: 67,730 | mfu: 1.4% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 8.999735 | lrm: 0.12 | dt: 975ms | tok/sec: 67,184 | mfu: 1.4% | epoch: 1 | remaining: 295s    
step 00016 (1.5%) | loss: 8.986491 | lrm: 0.15 | dt: 975ms | tok/sec: 67,225 | mfu: 1.4% | epoch: 1 | remaining: 294s    
step 00017 (1.9%) | loss: 8.961126 | lrm: 0.19 | dt: 977ms | tok/sec: 67,061 | mfu: 1.4% | epoch: 1 | remaining: 293s    
step 00018 (2.2%) | loss: 8.910848 | lrm: 0.22 | dt: 985ms | tok/sec: 66,526 | mfu: 1.4% | epoch: 1 | remaining: 292s    
step 00019 (2.5%) | loss: 8.817659 | lrm: 0.25 | dt: 994ms | tok/sec: 65,905 | mfu: 1.3% | epoch: 1 | remaining: 291s    
step 00020 (2.9%) | loss: 8.700209 | lrm: 0.29 | dt: 995ms | tok/sec: 65,873 | mfu: 1.3% | epoch: 1 | remaining: 290s    
step 00021 (3.2%) | loss: 8.564098 | lrm: 0.32 | dt: 996ms | tok/sec: 65,807 | mfu: 1.3% | epoch: 1 | remaining: 289s    
step 00022 (3.5%) | loss: 8.412520 | lrm: 0.35 | dt: 997ms | tok/sec: 65,743 | mfu: 1.3% | epoch: 1 | remaining: 288s    
step 00023 (3.9%) | loss: 8.243693 | lrm: 0.39 | dt: 1013ms | tok/sec: 64,680 | mfu: 1.3% | epoch: 1 | remaining: 287s    
